0.28846,0.66239
0.29140,0.66108
0.29287,0.66108
0.29434,0.66108
0.29581,0.66108
0.31638,0.65586
0.35166,0.65455
0.37370,0.65194
0.44278,0.65194
0.46483,0.64803
0.52215,0.64672
0.52362,0.64541
0.52656,0.64411
0.52803,0.64411
0.52950,0.64280
0.53097,0.63367
0.52950,0.62714
0.52509,0.62061
0.51921,0.61278
0.50451,0.60364
0.48834,0.59189
0.46483,0.57231
0.37076,0.50965
0.32520,0.49268
0.25171,0.46396
0.23848,0.45090
0.21644,0.43263
0.20909,0.42741
0.20615,0.42610
0.20468,0.42479
0.20321,0.42349
0.20321,0.42349
0.21056,0.41957
0.23408,0.41566
0.30168,0.41305
0.32961,0.41174
0.40310,0.40913
0.42221,0.40652
0.48394,0.40130
0.54273,0.39607
0.54860,0.39346
0.55448,0.39216
0.55595,0.39216
0.55742,0.39216
0.55889,0.39216
0.55889,0.39216
